Gym_preference,Gym_member,Gym_freq,Workout_length,Gym_drink_brands,Drink_preferred,Coke_rank,Pepsi_rank,Other_rank,WTP,Quantity,Gender,Age,Income,Protein_imnport,Protein_intake
Both,Yes,Once a week,60min - 90min,Water fountain + juices,Non-carbonated,2,3,1,0,0,Male,25 - 34 years old,"Less than $25,000",Slightly below average,56 grams a day (normal for the average man)
Gym,Yes,Once a week,30min - 60min,Coke + Pepsi,Coke,1,2,3,2.5,4,Female,25 - 34 years old,"Less than $25,000",Average,
Gym,Yes,Once a week,60min - 90min,Coke + Pepsi,Coke,,,,2.5,4,Female,25 - 34 years old,"$75,000 - $99,999",Average,
Gym,Yes,2-3 times a week,30min - 60min,No Cola,Coke,,,,1.3,20,Female,45 - 54 years old,"$100,000 - $149,999",Moderately above average,Less than 56 grams a day
,,,,,Pepsi,2,1,3,2.02,20,Female,25 - 34 years old,"$75,000 - $99,999",Average,
Both,Yes,Once a week,30min - 60min,Coke,Coke,,,,0,0,Male,35 - 44 years old,"$100,000 - $149,999",Slightly below average,
Both,No,Twice per month,30min - 60min,No Cola,Pepsi,2,1,3,1.51,30,Female,25 - 34 years old,"$75,000 - $99,999",Average,
Gym,Yes,Daily,30min - 60min,No Cola,Mountain Dew,3,2,1,1.8,30,Male,35 - 44 years old,"$75,000 - $99,999",Average,56 grams a day (normal for the average man)
Exercise via other methods,,,30min - 60min,,Coke,1,3,2,2,50,Male,18 - 24 years old,"$50,000 - $74,999",Average,
,,,,,Coke,,,,1.51,25,Female,18 - 24 years old,"$35,000 - $49,999",Average,56 grams a day (normal for the average man)
Gym,Yes,2-3 times a week,30min - 60min,No Cola,Lemonade,3,2,1,1.51,20,Female,25 - 34 years old,"$50,000 - $74,999",Average,56 grams a day (normal for the average man)
Gym,Yes,4-6 times a week,60min - 90min,Coke + Pepsi,Pepsi,3,1,2,1.01,30,Male,35 - 44 years old,"$100,000 - $149,999",Average,56 grams a day (normal for the average man)
Both,Yes,2-3 times a week,90min - 120min,No Cola,Pepsi,2,1,3,2.5,60,Male,18 - 24 years old,"$35,000 - $49,999",Average,
,,,,,Pepsi,2,1,3,1.99,15,Male,25 - 34 years old,"$75,000 - $99,999",Average,More than 56 grams a day
,,,,,Coke,,,,1.51,25,Female,25 - 34 years old,"$50,000 - $74,999",Average,Less than 56 grams a day
Exercise via other methods,,,30min - 60min,,Water,3,2,1,0,0,Female,18 - 24 years old,"$25,000 - $34,999",Slightly below average,
,,,,,Dr Pepper,2,3,1,0.75,20,Male,18 - 24 years old,"$25,000 - $34,999",Far below average,
Gym,Yes,Daily,90min - 120min,Coke + Pepsi,Coke,,,,3.51,60,Male,25 - 34 years old,"$75,000 - $99,999",Moderately below average,More than 56 grams a day
Gym,Yes,Once a week,30min - 60min,No Cola,Gatorade,2,3,1,1.01,20,Female,18 - 24 years old,"$25,000 - $34,999",Average,
,,,,,Pepsi,2,1,3,0,0,Male,18 - 24 years old,"$35,000 - $49,999",Far below average,
Exercise via other methods,,,60min - 90min,,Water,2,3,1,1.51,35,Female,35 - 44 years old,"$50,000 - $74,999",Average,
Both,Yes,Twice per month,30min - 60min,,Coke,,,,2,15,Male,18 - 24 years old,"$75,000 - $99,999",Average,56 grams a day (normal for the average man)
Gym,Yes,2-3 times a week,30min - 60min,Coke + Pepsi,Coke,,,,2.76,20,Male,18 - 24 years old,"$35,000 - $49,999",Average,56 grams a day (normal for the average man)
,,,,,Coke,,,,0,0,Female,25 - 34 years old,"$50,000 - $74,999",Average,
,,,,,Pepsi,2,1,3,0,0,Male,25 - 34 years old,"$50,000 - $74,999",Average,
Both,Yes,4-6 times a week,30min - 60min,No Cola,Rockstar ,2,3,1,1.99,10,Male,25 - 34 years old,"$25,000 - $34,999",Moderately above average,More than 56 grams a day
Exercise via other methods,,,15min - 30min,,Dr Pepper,2,3,1,1.11,5,Male,35 - 44 years old,"$50,000 - $74,999",Slightly above average,56 grams a day (normal for the average man)
Exercise via other methods,,,30min - 60min,,Chocolate Milk,2,3,1,0,0,Male,25 - 34 years old,"$35,000 - $49,999",Average,More than 56 grams a day
Both,No,2-3 times a week,60min - 90min,Bai,Chocolate Milk,2,3,1,1.99,15,Male,35 - 44 years old,"$150,000 - $199,999",Moderately above average,More than 56 grams a day
Exercise via other methods,,,30min - 60min,,Water,2,3,1,0,0,Male,45 - 54 years old,"$100,000 - $149,999",Slightly above average,Less than 56 grams a day
